,Unnamed: 0,"Activity, Exercise or Sport (1 hour)",Calories per kg
0,0,"cycling, mountain bike, bmx",1.75072971940299
1,1,"cycling, <10 mph, leisure bicycling",0.823235629850746
2,2,"cycling, >20 mph, racing",3.29497352835821
3,3,"cycling, 10-11.9 mph, light",1.23485344477612
4,4,"cycling, 12-13.9 mph, moderate",1.64782526567164
5,5,"cycling, 14-15.9 mph, vigorous",2.05944308059702
6,6,"cycling, 16-19 mph, very fast, racing",2.47106089552239
7,7,unicycling,1.02972154029851
8,8,"stationary cycling, very light",0.61742672238806
9,9,"stationary cycling, light",1.13262599402985
10,10,"stationary cycling, moderate",1.44133935522388
11,11,"stationary cycling, vigorous",2.16234753432836
12,12,"stationary cycling, very vigorous",2.57464235223881
13,13,"calisthenics, vigorous, pushups, situps…",1.64782526567164
14,14,"calisthenics, light",0.721008179104478
15,15,"circuit training, minimal rest",1.64782526567164
16,16,"weight lifting, body building, vigorous",1.23485344477612
17,17,"weight lifting, light workout",0.61742672238806
18,18,health club exercise,1.13262599402985
19,19,stair machine,1.85295717014925
20,20,"rowing machine, light",0.721008179104478
21,21,"rowing machine, moderate",1.44133935522388
22,22,"rowing machine, vigorous",1.75072971940299
23,23,"rowing machine, very vigorous",2.47106089552239
24,24,ski machine,1.44133935522388
25,25,"aerobics, low impact",1.02972154029851
26,26,"aerobics, high impact",1.44133935522388
27,27,"aerobics, step aerobics",1.75072971940299
28,28,"aerobics, general",1.33843490149254
29,29,jazzercise,1.23485344477612
30,30,"stretching, hatha yoga",0.823235629850746
31,31,mild stretching,0.515199271641791
32,32,instructing aerobic class,1.23485344477612
33,33,water aerobics,0.823235629850746
34,34,"ballet, twist, jazz, tap",0.927494089552239
35,35,"ballroom dancing, slow",0.61742672238806
36,36,"ballroom dancing, fast",1.13262599402985
37,37,"running, 5 mph (12 minute mile)",1.64782526567164
38,38,"running, 5.2 mph (11.5 minute mile)",1.85295717014925
39,39,"running, 6 mph (10 min mile)",2.05944308059702
40,40,"running, 6.7 mph (9 min mile)",2.2652519880597
41,41,"running, 7 mph (8.5 min mile)",2.36815644179104
42,42,"running, 7.5mph (8 min mile)",2.57464235223881
43,43,"running, 8 mph (7.5 min mile)",2.77977425671642
44,44,"running, 8.6 mph (7 min mile)",2.88267871044776
45,45,"running, 9 mph (6.5 min mile)",3.08916462089552
46,46,"running, 10 mph (6 min mile)",3.29497352835821
47,47,"running, 10.9 mph (5.5 min mile)",3.70659134328358
48,48,"running, cross country",1.85295717014925
49,49,"running, general",1.64782526567164
50,50,"running, on a track, team practice",2.05944308059702
51,51,"running, stairs, up",3.08916462089552
52,52,"track and field (shot, discus)",0.823235629850746
53,53,"track and field (high jump, pole vault)",1.23485344477612
54,54,track and field (hurdles),2.05944308059702
55,55,archery,0.721008179104478
56,56,badminton,0.927494089552239
57,57,"basketball game, competitive",1.64782526567164
58,58,"playing basketball, non game",1.23485344477612
59,59,"basketball, officiating",1.44133935522388
60,60,"basketball, shooting baskets",0.927494089552239
61,61,"basketball, wheelchair",1.33843490149254
62,62,"running, training, pushing wheelchair",1.64782526567164
63,63,billiards,0.515199271641791
64,64,bowling,0.61742672238806
65,65,"boxing, in ring",2.47106089552239
66,66,"boxing, punching bag",1.23485344477612
67,67,"boxing, sparring",1.85295717014925
68,68,"coaching: football, basketball, soccer…",0.823235629850746
69,69,"cricket (batting, bowling)",1.02972154029851
70,70,croquet,0.515199271641791
71,71,curling,0.823235629850746
72,72,darts (wall or lawn),0.515199271641791
73,73,fencing,1.23485344477612
74,74,"football, competitive",1.85295717014925
